age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,salary
68,Local-gov,949065,12th,4,Married-spouse-absent,Sales,Other-relative,Asian-Pac-Islander,Female,53019,680,35,India,>50K
31,Without-pay,1044939,HS-grad,8,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,76154,972,15,Philippines,<=50K
88,Without-pay,1265709,11th,6,Widowed,Prof-specialty,Not-in-family,Other,Male,7373,2846,67,Canada,>50K
77,Self-emp-inc,894829,Assoc-acdm,4,Separated,Tech-support,Husband,Amer-Indian-Eskimo,Female,35281,2132,93,United-States,<=50K
37,Never-worked,1363862,Assoc-voc,4,Married-civ-spouse,Priv-house-serv,Wife,Other,Male,20187,2463,30,Germany,>50K
40,Self-emp-not-inc,1244613,HS-grad,16,Married-civ-spouse,Other-service,Own-child,White,Female,67863,2529,82,Japan,>50K
19,Self-emp-not-inc,408076,Assoc-voc,2,Widowed,Transport-moving,Wife,Black,Male,97927,2503,75,India,>50K
38,Self-emp-inc,680008,7th-8th,14,Separated,Craft-repair,Unmarried,Amer-Indian-Eskimo,Male,84085,4922,43,Cambodia,<=50K
69,State-gov,710493,Masters,2,Married-AF-spouse,Adm-clerical,Other-relative,Other,Male,39220,4392,60,Canada,<=50K
18,Self-emp-not-inc,988181,Some-college,12,Married-civ-spouse,Priv-house-serv,Husband,Black,Female,7642,3183,40,Puerto-Rico,<=50K
46,Federal-gov,640347,Masters,14,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Female,79971,4033,65,Mexico,>50K
54,Private,1032092,11th,4,Separated,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,55556,3167,29,Philippines,<=50K
18,Without-pay,642605,Prof-school,5,Never-married,Armed-Forces,Unmarried,Other,Female,33760,2997,74,United-States,<=50K
80,Without-pay,745495,11th,8,Married-civ-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,38192,3227,92,Germany,>50K
76,Federal-gov,1365766,Masters,15,Divorced,Adm-clerical,Husband,White,Female,4381,2152,95,England,<=50K
37,Never-worked,121459,9th,6,Separated,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Female,96583,1728,19,Mexico,<=50K
49,Self-emp-not-inc,781985,1st-4th,14,Married-civ-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,19558,2024,3,Canada,>50K
74,Without-pay,220422,12th,15,Widowed,Transport-moving,Wife,Other,Male,30782,329,36,Germany,>50K
38,Local-gov,1170096,9th,4,Married-spouse-absent,Armed-Forces,Husband,White,Male,4782,2486,43,Mexico,<=50K
65,Never-worked,605560,9th,13,Divorced,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,91417,1155,15,Mexico,>50K
75,Private,767512,1st-4th,11,Married-spouse-absent,Tech-support,Unmarried,Black,Female,54712,1890,97,Japan,<=50K
58,Private,536123,1st-4th,7,Married-spouse-absent,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,94945,4477,41,Mexico,<=50K
76,Without-pay,1398369,7th-8th,8,Married-civ-spouse,Machine-op-inspct,Other-relative,Asian-Pac-Islander,Female,19462,2185,90,Puerto-Rico,<=50K
31,Self-emp-inc,346818,HS-grad,2,Divorced,Farming-fishing,Other-relative,White,Female,60030,4938,80,Germany,<=50K
78,Never-worked,1056548,Prof-school,12,Divorced,Armed-Forces,Unmarried,Asian-Pac-Islander,Female,68519,2317,36,Canada,<=50K
78,Without-pay,164832,Prof-school,7,Never-married,Other-service,Wife,Amer-Indian-Eskimo,Female,56411,3621,97,Canada,>50K
63,Self-emp-inc,172999,9th,15,Married-spouse-absent,Transport-moving,Husband,White,Male,55206,4491,84,Puerto-Rico,>50K
78,Without-pay,368619,Assoc-voc,14,Divorced,Handlers-cleaners,Unmarried,Other,Male,97469,2511,77,Cambodia,<=50K
67,Local-gov,81367,7th-8th,2,Never-married,Transport-moving,Own-child,White,Male,46950,449,33,Germany,>50K
71,Never-worked,773315,5th-6th,2,Separated,Tech-support,Husband,Other,Female,2523,1354,5,Mexico,>50K
80,State-gov,425804,5th-6th,8,Never-married,Tech-support,Other-relative,White,Female,60926,1293,78,United-States,<=50K
19,Private,928182,Preschool,2,Widowed,Farming-fishing,Unmarried,Amer-Indian-Eskimo,Male,9677,2465,91,India,>50K
67,Without-pay,777038,Doctorate,15,Married-AF-spouse,Protective-serv,Not-in-family,Amer-Indian-Eskimo,Male,75828,3102,87,Germany,>50K
23,Local-gov,1304382,9th,11,Married-civ-spouse,Exec-managerial,Own-child,White,Male,15089,1849,14,England,<=50K
37,Self-emp-inc,924586,Some-college,9,Separated,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,4581,3175,68,United-States,<=50K
89,Self-emp-inc,1113314,12th,12,Married-AF-spouse,Machine-op-inspct,Wife,Amer-Indian-Eskimo,Male,11907,4281,83,Puerto-Rico,<=50K
55,Private,577685,1st-4th,1,Married-AF-spouse,Handlers-cleaners,Own-child,Other,Female,5609,3199,47,Mexico,<=50K
34,Federal-gov,1412909,HS-grad,15,Separated,Machine-op-inspct,Unmarried,Other,Female,51153,1233,54,Cambodia,<=50K
20,Without-pay,1407087,Assoc-acdm,9,Widowed,Prof-specialty,Wife,Black,Male,50539,1437,4,England,<=50K
76,Never-worked,1062377,1st-4th,15,Never-married,Prof-specialty,Own-child,Other,Male,44143,3352,94,Cambodia,<=50K
30,Self-emp-not-inc,222332,Some-college,1,Married-civ-spouse,Craft-repair,Wife,Black,Female,22936,4030,83,Cambodia,>50K
25,Self-emp-inc,402729,Assoc-voc,10,Never-married,Prof-specialty,Wife,White,Male,50182,252,95,Philippines,<=50K
69,Never-worked,1180029,Preschool,13,Divorced,Exec-managerial,Own-child,White,Male,99524,18,95,Japan,>50K
18,Never-worked,1088392,11th,10,Never-married,Protective-serv,Own-child,White,Female,95042,2759,9,England,>50K
76,State-gov,979744,10th,2,Separated,Other-service,Wife,Asian-Pac-Islander,Female,13163,222,53,India,<=50K
87,Never-worked,943780,11th,16,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,59758,2,77,Japan,>50K
60,Never-worked,789299,Masters,6,Never-married,Machine-op-inspct,Own-child,Black,Female,46057,1259,78,England,>50K
24,State-gov,1485291,Some-college,6,Married-civ-spouse,Adm-clerical,Unmarried,Other,Female,12537,4949,60,Cambodia,>50K
63,Self-emp-inc,1026080,Masters,1,Married-civ-spouse,Tech-support,Husband,Other,Male,22419,4323,46,Japan,<=50K
51,Never-worked,391000,9th,7,Divorced,Other-service,Not-in-family,White,Female,42578,4594,54,England,>50K
52,Federal-gov,233567,Assoc-acdm,8,Divorced,Other-service,Wife,Amer-Indian-Eskimo,Female,74991,2568,74,India,>50K
66,Federal-gov,615923,Bachelors,2,Separated,Transport-moving,Wife,Asian-Pac-Islander,Female,74599,1885,95,United-States,<=50K
20,Local-gov,236184,1st-4th,8,Widowed,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,834,1299,37,Germany,>50K
18,State-gov,318090,Bachelors,9,Married-AF-spouse,Tech-support,Other-relative,White,Female,32214,2338,23,Mexico,>50K
22,Local-gov,337348,Assoc-voc,6,Married-civ-spouse,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,92934,1076,27,England,>50K
70,State-gov,1251534,Preschool,5,Widowed,Other-service,Own-child,White,Female,2413,3758,70,India,>50K
20,Without-pay,1009156,9th,12,Married-AF-spouse,Craft-repair,Not-in-family,Black,Male,9505,3181,90,Germany,>50K
